Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1615421401.232,0,1615421401,232000113,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.252,0,1615421401,252000093,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.272,0,1615421401,272000074,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.292,0,1615421401,292000055,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.312,0,1615421401,312000036,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.332,0,1615421401,332000017,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.352,0,1615421401,351999998,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.372,0,1615421401,371999979,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.392,0,1615421401,391999960,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.412,0,1615421401,411999941,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.432,0,1615421401,431999922,/vehicle_frd,0,0,32.885742884391156,-117.11820500730951,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.452,0,1615421401,451999903,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.472,0,1615421401,471999884,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.492,0,1615421401,492000103,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.512,0,1615421401,512000084,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.532,0,1615421401,532000065,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.552,0,1615421401,552000046,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.572,0,1615421401,572000027,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.592,0,1615421401,592000008,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.612,0,1615421401,611999989,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.632,0,1615421401,631999969,/vehicle_frd,0,0,32.88574288439026,-117.11820500730965,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.652,0,1615421401,651999950,/vehicle_frd,0,0,32.88574288438937,-117.1182050073098,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.672,0,1615421401,671999931,/vehicle_frd,0,0,32.88574288438937,-117.1182050073098,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.692,0,1615421401,691999912,/vehicle_frd,0,0,32.88574288438937,-117.1182050073098,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.712,0,1615421401,711999893,/vehicle_frd,0,0,32.88574288438937,-117.1182050073098,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.732,0,1615421401,732000113,/vehicle_frd,0,0,32.88574288438937,-117.1182050073098,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
