Time,x,y,z
1659032443.8326235,0.699999988079071,-353.0,-277.0
1659032443.8541265,0.0,-353.0,-277.0
1659032443.8739047,-0.10000000149011612,-353.0,-277.0
1659032443.8947835,0.0,-353.0,-277.0
1659032443.9149861,0.0,-234.0,-277.0
1659032443.9353864,0.0,-234.0,-185.0
1659032443.961379,-0.30000001192092896,-235.0,-185.0
1659032443.9817715,-0.10000000149011612,-235.0,-185.0
1659032444.0020664,-0.20000000298023224,-235.0,-185.0
1659032444.022512,0.0,-235.0,-277.0
1659032444.046822,-0.10000000149011612,-235.0,-277.0
1659032444.065543,-0.10000000149011612,-235.0,-277.0
1659032444.0854754,0.0,-235.0,-277.0
1659032444.105508,-0.10000000149011612,-235.0,-277.0
1659032444.1264162,0.0,-235.0,-277.0
1659032444.147199,-0.10000000149011612,-235.0,-185.0
1659032444.1678247,0.0,-235.0,-185.0
1659032444.1923838,-0.10000000149011612,-235.0,-185.0
1659032444.2077644,0.0,-235.0,-185.0
1659032444.2338114,-0.10000000149011612,-235.0,-185.0
1659032444.2570593,0.0,-294.0,-185.0
1659032444.274992,-0.20000000298023224,-294.0,-185.0
1659032444.294951,-0.10000000149011612,-294.0,-185.0
1659032444.3152962,0.0,-234.0,-185.0
1659032444.458569,-0.10000000149011612,-234.0,-185.0
1659032444.4599802,-0.10000000149011612,-234.0,-185.0
1659032444.4634938,0.10000000149011612,-234.0,-277.0
1659032444.463571,0.0,-234.0,-277.0
1659032444.6456912,0.5,-234.0,-277.0
1659032444.645719,0.0,-294.0,-277.0
1659032444.6457763,0.0,-294.0,-277.0
1659032444.6499646,-0.10000000149011612,-234.0,-277.0
1659032444.6499746,0.0,-234.0,-277.0
1659032444.6554432,-0.30000001192092896,-235.0,-277.0
1659032444.6597736,-0.10000000149011612,-235.0,-277.0
1659032444.6597888,0.4000000059604645,-294.0,-185.0
1659032444.66046,0.10000000149011612,-294.0,-185.0
1659032444.666365,0.0,-294.0,-185.0
1659032444.666843,0.0,-294.0,-185.0
1659032444.6742885,0.10000000149011612,-294.0,-277.0
1659032444.6754987,0.10000000149011612,-294.0,-277.0
1659032444.6974816,0.0,-294.0,-277.0
1659032444.719603,-0.30000001192092896,-294.0,-277.0
1659032444.7395384,-0.30000001192092896,-294.0,-277.0
1659032444.75707,0.0,-294.0,-277.0
1659032444.7837481,-0.10000000149011612,-294.0,-277.0
1659032444.8038802,0.0,-294.0,-277.0
1659032445.302328,0.0,-294.0,-277.0
1659032445.3033636,-0.4000000059604645,-353.0,-277.0
1659032445.3034167,0.0,-353.0,-277.0
1659032445.3058708,0.0,-353.0,-277.0
1659032445.3267727,-0.20000000298023224,-353.0,-277.0
